"station","age","depth","sample_weight","tag","sample_id","kingdom","Interest","repl.pa","sum.reads","norm.reads"
"EMB262_12_2_MUC",1836,35,447,"EMB262_12_2_MUC_35","PA147E","Eukaryota","Diatom",67,9510.75,10638.4228187919
"EMB262_12_2_MUC",1836,35,447,"EMB262_12_2_MUC_35","PA147E","Eukaryota","Dinoflagellata",424,61818.5,69148.2102908277
"EMB262_12_2_MUC",1841,34,511,"EMB262_12_2_MUC_34","PA110E","Eukaryota","Diatom",49,1378.5,1348.82583170254
"EMB262_12_2_MUC",1841,34,511,"EMB262_12_2_MUC_34","PA110E","Eukaryota","Dinoflagellata",284,44859.5,43893.8356164384
"EMB262_12_2_MUC",1847,33,757,"EMB262_12_2_MUC_33","PA127E","Eukaryota","Diatom",40,942.25,622.357992073976
"EMB262_12_2_MUC",1847,33,757,"EMB262_12_2_MUC_33","PA127E","Eukaryota","Dinoflagellata",274,24639.25,16274.2734478203
"EMB262_12_2_MUC",1853,32,538,"EMB262_12_2_MUC_32","PA145E","Eukaryota","Diatom",46,1711.25,1590.38104089219
"EMB262_12_2_MUC",1853,32,538,"EMB262_12_2_MUC_32","PA145E","Eukaryota","Dinoflagellata",403,43162.75,40114.0799256506
"EMB262_12_2_MUC",1859,31,274,"EMB262_12_2_MUC_31","PA088E","Eukaryota","Diatom",27,707,1290.14598540146
"EMB262_12_2_MUC",1859,31,274,"EMB262_12_2_MUC_31","PA088E","Eukaryota","Dinoflagellata",182,15724,28693.4306569343
"EMB262_12_2_MUC",1864,30,533,"EMB262_12_2_MUC_30","PA134E","Eukaryota","Diatom",40,2924.75,2743.66791744841
"EMB262_12_2_MUC",1864,30,533,"EMB262_12_2_MUC_30","PA134E","Eukaryota","Dinoflagellata",271,37687.25,35353.8930581614
"EMB262_12_2_MUC",1870,29,650,"EMB262_12_2_MUC_29","PA159E","Eukaryota","Diatom",39,1682.5,1294.23076923077
"EMB262_12_2_MUC",1870,29,650,"EMB262_12_2_MUC_29","PA159E","Eukaryota","Dinoflagellata",202,8262.5,6355.76923076923
"EMB262_12_2_MUC",1876,28,574,"EMB262_12_2_MUC_28","PA097E","Eukaryota","Diatom",89,9325.75,8123.4756097561
"EMB262_12_2_MUC",1876,28,574,"EMB262_12_2_MUC_28","PA097E","Eukaryota","Dinoflagellata",475,73138.75,63709.712543554
"EMB262_12_2_MUC",1881,27,426,"EMB262_12_2_MUC_27","PA129E","Eukaryota","Diatom",84,4962,5823.94366197183
"EMB262_12_2_MUC",1881,27,426,"EMB262_12_2_MUC_27","PA129E","Eukaryota","Dinoflagellata",541,50653.25,59452.1713615023
